(theta,phi,r)
(5.0,111.71875,0.961)
(5.0,153.28125,2.5730000000000004)
(5.0,153.40625,2.4191818181818183)
(5.0,153.53125,2.279222222222222)
(5.0,154.28125,2.358)
(5.0,156.28125,0.946)
(5.0,187.453125,2.923)
(5.0,187.578125,3.205)
(5.0,187.703125,2.7002)
(5.0,187.828125,2.4221)
(5.0,187.953125,2.3369999999999997)
(5.0,231.625,7.715571428571428)
(5.0,231.75,7.400882352941176)
(5.0,233.375,7.16)
(5.0,311.3125,2.7161250000000003)
(5.0,355.59375,3.3644285714285718)
(5.0,355.71875,3.1380588235294113)
(5.0,355.84375,2.744)
(6.0,29.21875,2.321888888888889)
(6.0,29.34375,2.2706521739130427)
(6.0,74.078125,2.38)
(6.0,74.203125,2.2159999999999997)
(6.0,74.328125,1.917)
(6.0,74.453125,1.8594444444444445)
(6.0,74.578125,1.76)
(6.0,74.953125,2.0435)
(6.0,107.953125,2.3343333333333334)
(6.0,108.078125,2.2307777777777775)
(6.0,108.203125,2.133)
(6.0,108.828125,2.433)
(6.0,109.828125,0.956)
(6.0,109.953125,0.971)
(6.0,110.078125,0.947)
(6.0,152.796875,2.59)
(6.0,152.921875,2.421714285714286)
(6.0,153.046875,2.25575)
(6.0,154.671875,0.947)
(6.0,154.796875,0.953)
(6.0,186.515625,3.305)
(6.0,186.640625,3.193)
(6.0,186.765625,2.559)
(6.0,186.890625,2.4330909090909087)
(6.0,187.015625,2.383)
(6.0,231.015625,7.793285714285715)
(6.0,231.140625,7.353105263157897)
(6.0,232.765625,7.234999999999999)
(6.0,310.5625,2.7155624999999994)
(6.0,355.265625,3.339333333333333)
(6.0,355.390625,3.168333333333334)
(6.0,355.515625,2.745)
(6.0,355.640625,2.687)
(7.0,29.9375,2.33175)
(7.0,30.0625,2.2256666666666676)
(7.0,74.671875,2.3760000000000003)
(7.0,75.046875,1.82575)
(7.0,75.171875,1.687)
(7.0,75.296875,1.649)
(7.0,75.546875,1.9535)
(7.0,108.71875,2.284)
(7.0,108.84375,2.2383333333333333)
(7.0,108.96875,2.121)
(7.0,109.59375,2.2560000000000002)
(7.0,111.59375,0.948)
(7.0,153.375,2.534)
(7.0,153.5,2.428090909090909)
(7.0,153.625,2.2765555555555554)
(7.0,154.375,2.555)
(7.0,155.375,0.953)
(7.0,156.375,0.947)
(7.0,187.421875,3.1122)
(7.0,187.546875,2.731)
(7.0,187.671875,2.427782608695652)
(7.0,187.796875,2.323)
(7.0,231.640625,7.6698)
(7.0,231.765625,7.374037037037037)
(7.0,311.265625,2.7163125000000004)
(7.0,355.796875,3.3056666666666668)
(7.0,355.921875,3.178666666666667)
(7.0,356.046875,2.728692307692307)
(7.0,356.171875,2.573)
(8.0,28.65625,2.3294)
(8.0,28.78125,2.22737037037037)
(8.0,74.3125,1.875)
(8.0,74.4375,1.86725)
(8.0,74.5625,1.7429999999999999)
(8.0,74.6875,1.721)
(8.0,74.9375,1.7389999999999999)
(8.0,107.3125,2.3237499999999995)
(8.0,107.4375,2.2738)
(8.0,107.5625,2.163)
(8.0,108.1875,2.12)
(8.0,110.1875,0.949)
(8.0,152.59375,2.408333333333333)
(8.0,152.71875,2.442090909090909)
(8.0,152.84375,2.280333333333333)
(8.0,153.59375,2.219)
(8.0,154.46875,0.947)
(8.0,154.71875,0.953)
(8.0,154.84375,0.961)
(8.0,155.59375,0.951)
(8.0,185.796875,3.281)
(8.0,185.921875,3.1165000000000003)
(8.0,186.046875,2.6225)
(8.0,186.171875,2.416199999999999)
(8.0,186.296875,2.326)
(8.0,230.625,7.696333333333334)
(8.0,230.75,7.331846153846156)
(8.0,310.078125,2.7161874999999998)
(8.0,355.328125,3.316333333333333)
(8.0,355.453125,3.139111111111111)
(8.0,355.578125,2.6903333333333332)
(8.0,355.703125,2.576)
(9.0,29.265625,2.3150000000000004)
(9.0,29.390625,2.206666666666667)
(9.0,29.515625,2.161)
(9.0,74.71875,1.887)
(9.0,74.84375,1.8867142857142856)
(9.0,74.96875,1.795)
(9.0,75.34375,1.7429999999999999)
(9.0,107.90625,2.3306)
(9.0,108.03125,2.2087142857142856)
(9.0,108.78125,2.216333333333333)
(9.0,110.78125,0.945)
(9.0,153.234375,2.4313750000000005)
(9.0,153.359375,2.25525)
(9.0,154.109375,2.149)
(9.0,155.234375,0.949)
(9.0,186.375,2.956666666666667)
(9.0,186.5,2.6618)
(9.0,186.625,2.4444666666666666)
(9.0,186.75,2.4683333333333333)
(9.0,231.203125,7.609)
(9.0,231.328125,7.288666666666667)
(9.0,310.6875,2.716500000000001)
(9.0,355.671875,3.2958)
(9.0,355.796875,3.1032857142857146)
(9.0,355.921875,2.7372500000000004)
(9.0,356.046875,2.5378)
(10.0,29.78125,2.2560000000000002)
(10.0,29.90625,2.1679600000000003)
(10.0,30.03125,2.1358)
(10.0,74.484375,2.3985999999999996)
(10.0,74.609375,2.1929999999999996)
(10.0,74.734375,1.9586)
(10.0,74.859375,1.9100000000000001)
(10.0,74.984375,1.7215000000000003)
(10.0,75.359375,1.633)
(10.0,108.4375,2.179)
(10.0,108.5625,2.3542)
(10.0,108.6875,2.21775)
(10.0,108.8125,2.181)
(10.0,109.4375,2.113)
(10.0,110.8125,0.989)
(10.0,111.4375,0.933)
(10.0,153.25,2.155)
(10.0,153.375,2.4134999999999995)
(10.0,153.5,2.2803999999999993)
(10.0,154.25,2.453)
(10.0,155.25,0.956)
(10.0,155.5,0.969)
(10.0,187.15625,2.9303333333333335)
(10.0,187.28125,2.6876666666666664)
(10.0,187.40625,2.484789473684211)
(10.0,187.53125,2.2955)
(10.0,231.46875,7.631)
(10.0,231.59375,7.213193548387098)
(10.0,311.078125,2.7164375)
(10.0,355.609375,3.249)
(10.0,355.734375,3.1733999999999996)
(10.0,355.859375,2.7248181818181822)
(10.0,355.984375,2.5166000000000004)
(11.0,29.1875,2.223)
(11.0,29.3125,2.160176470588236)
(11.0,29.4375,2.102)
(11.0,74.6875,1.893)
(11.0,74.8125,2.0683333333333334)
(11.0,74.9375,1.826)
(11.0,75.0625,1.7216666666666667)
(11.0,75.1875,1.6423333333333332)
(11.0,75.4375,2.243)
