(theta,phi,r)
(27.0,356.140625,2.16925)
(27.0,356.265625,2.093)
(28.0,29.75,1.8863333333333336)
(28.0,29.875,1.8403333333333332)
(28.0,74.859375,1.5576666666666668)
(28.0,74.984375,1.4816666666666667)
(28.0,75.109375,1.4352857142857143)
(28.0,108.390625,2.171)
(28.0,108.515625,2.107666666666667)
(28.0,108.640625,1.707)
(28.0,108.765625,1.721)
(28.0,109.140625,2.1303333333333336)
(28.0,152.96875,2.5316666666666663)
(28.0,153.09375,2.3981999999999997)
(28.0,153.21875,2.2192857142857143)
(28.0,186.75,3.243)
(28.0,186.875,3.1008333333333327)
(28.0,187.0,2.7389999999999994)
(28.0,187.25,2.135)
(28.0,187.375,2.081222222222222)
(28.0,188.0,2.293)
(28.0,231.375,6.3525)
(28.0,233.0,6.109)
(28.0,310.859375,2.7166250000000005)
(28.0,355.53125,3.0238571428571426)
(28.0,355.65625,2.689)
(28.0,355.78125,2.444111111111111)
(28.0,355.90625,2.195)
(28.0,356.03125,2.112)
(29.0,29.515625,1.841333333333333)
(29.0,30.015625,1.803)
(29.0,74.640625,1.5543333333333331)
(29.0,74.765625,1.470142857142857)
(29.0,74.890625,1.4507142857142858)
(29.0,108.03125,2.17275)
(29.0,108.15625,2.1210000000000004)
(29.0,108.40625,1.7240000000000002)
(29.0,108.78125,1.993)
(29.0,152.65625,2.5403333333333333)
(29.0,152.78125,2.4130000000000003)
(29.0,152.90625,2.2209999999999996)
(29.0,153.03125,2.157)
(29.0,186.453125,3.221)
(29.0,186.578125,3.1302)
(29.0,186.703125,2.917)
(29.0,186.953125,2.0893333333333337)
(29.0,187.078125,2.0894999999999997)
(29.0,187.703125,2.591)
(29.0,231.0,6.240562499999999)
(29.0,310.421875,2.716687500000001)
(29.0,355.390625,3.0526666666666666)
(29.0,355.515625,2.739333333333333)
(29.0,355.640625,2.4405555555555556)
(29.0,355.765625,2.1716)
(29.0,355.890625,2.137)
(30.0,73.390625,1.411)
(30.0,75.015625,1.4989999999999999)
(30.0,75.140625,1.4862000000000002)
(30.0,75.265625,1.4603333333333335)
(30.0,77.265625,1.417)
(30.0,134.03125,2.1375)
(30.0,134.15625,2.1121999999999996)
(30.0,134.28125,2.099)
(30.0,134.78125,1.881)
(30.0,152.984375,2.524)
(30.0,153.109375,2.415133333333333)
(30.0,153.234375,2.227285714285714)
(30.0,153.359375,2.171)
(30.0,212.09375,6.0150000000000015)
(30.0,212.46875,3.2456666666666667)
(30.0,212.59375,3.2298)
(30.0,213.71875,4.709)
(30.0,257.421875,6.0805)
(30.0,257.546875,5.2308)
(30.0,257.671875,4.16409090909091)
(30.0,257.796875,3.6261428571428573)
(30.0,336.75,2.9707894736842104)
(30.0,336.875,2.8283333333333336)
(30.0,337.875,3.016)
(30.0,355.796875,3.027)
(30.0,355.921875,2.74)
(30.0,356.046875,2.4354999999999998)
(30.0,356.171875,2.2165555555555554)
(30.0,356.296875,2.0715000000000003)
(31.0,30.015625,1.8276666666666666)
(31.0,30.140625,1.8023333333333333)
(31.0,74.984375,1.551)
(31.0,75.109375,1.4686000000000001)
(31.0,75.234375,1.4486666666666668)
(31.0,108.546875,2.1385555555555555)
(31.0,108.671875,2.122)
(31.0,108.796875,2.145)
(31.0,108.921875,1.717)
(31.0,109.296875,2.399)
(31.0,153.109375,2.5896666666666666)
(31.0,153.234375,2.3994615384615385)
(31.0,153.359375,2.237666666666667)
(31.0,153.484375,2.167)
(31.0,187.0,3.0546363636363636)
(31.0,187.125,2.958)
(31.0,187.375,2.255333333333333)
(31.0,187.5,2.0694444444444446)
(31.0,231.4375,6.214062499999999)
(31.0,310.9375,2.7166875)
(31.0,355.609375,3.0414000000000003)
(31.0,355.734375,2.7738)
(31.0,355.859375,2.4835000000000003)
(31.0,355.984375,2.217)
(31.0,356.109375,2.0734999999999997)
(32.0,29.421875,1.8256666666666663)
(32.0,29.546875,1.793)
(32.0,74.90625,1.521)
(32.0,75.03125,1.4672222222222222)
(32.0,75.15625,1.4414000000000002)
(32.0,107.828125,2.139)
(32.0,107.953125,2.0826666666666664)
(32.0,108.203125,1.7080000000000002)
(32.0,108.578125,1.939)
(32.0,152.890625,2.517)
(32.0,153.015625,2.4228666666666667)
(32.0,153.140625,2.2161428571428567)
(32.0,153.265625,2.167)
(32.0,186.171875,3.1048181818181817)
(32.0,186.296875,2.953)
(32.0,186.421875,2.267)
(32.0,186.546875,2.1879999999999997)
(32.0,186.671875,2.058272727272727)
(32.0,187.296875,2.681)
(32.0,231.09375,6.1751875)
(32.0,310.453125,2.7162499999999996)
(32.0,355.640625,2.9996666666666667)
(32.0,355.765625,2.6679999999999997)
(32.0,355.890625,2.4386666666666668)
(32.0,356.015625,2.2521428571428572)
(32.0,356.140625,2.0801428571428575)
(33.0,30.03125,1.81425)
(33.0,30.15625,1.767)
(33.0,75.28125,1.4656666666666667)
(33.0,75.40625,1.4462)
(33.0,108.5625,2.1343333333333336)
(33.0,108.6875,2.092333333333333)
(33.0,108.9375,1.723)
(33.0,109.3125,2.0103333333333335)
(33.0,153.265625,2.523)
(33.0,153.390625,2.4214705882352936)
(33.0,153.515625,2.225142857142857)
(33.0,186.984375,3.1466000000000003)
(33.0,187.109375,2.6422)
(33.0,187.234375,2.4450000000000003)
(33.0,187.359375,2.2656666666666667)
(33.0,187.484375,2.060333333333334)
(33.0,231.578125,6.162483870967743)
(33.0,231.703125,5.969)
(33.0,311.015625,2.7162499999999996)
(33.0,355.859375,3.0315000000000003)
(33.0,355.984375,2.722142857142857)
(33.0,356.109375,2.4172499999999997)
(33.0,356.234375,2.162111111111111)
(33.0,356.359375,2.0349999999999997)
(34.0,29.40625,1.8149999999999997)
(34.0,29.53125,1.7839999999999998)
(34.0,72.984375,1.399)
(34.0,74.734375,1.499666666666667)
(34.0,74.859375,1.4439090909090908)
(34.0,76.859375,1.411)
(34.0,107.84375,2.1656666666666666)
(34.0,107.96875,2.0743333333333336)
(34.0,108.21875,1.7216666666666667)
(34.0,108.34375,1.701)
(34.0,108.59375,1.944)
(34.0,152.703125,2.5555)
(34.0,152.828125,2.393666666666667)
(34.0,152.953125,2.2262)
(34.0,153.078125,2.163)
(34.0,186.203125,3.1151999999999997)
(34.0,186.328125,2.7938)
(34.0,186.453125,2.439)
(34.0,186.578125,2.186)
(34.0,186.703125,2.052166666666667)
(34.0,231.0625,6.1377741935483865)
(34.0,231.1875,5.947)
(34.0,310.484375,2.7170625)
(34.0,355.34375,3.0740000000000003)
(34.0,355.46875,2.71525)
(34.0,355.59375,2.441333333333333)
(34.0,355.71875,2.2135000000000002)
(34.0,355.84375,2.0633333333333335)
(35.0,29.8125,1.777)
(35.0,29.9375,1.8038)
(35.0,30.3125,1.745)
(35.0,73.6875,1.415)
(35.0,75.4375,1.473)
(35.0,75.5625,1.4458888888888888)
(35.0,75.6875,1.3820000000000001)
(35.0,77.5625,1.403)
(35.0,108.21875,2.155)
(35.0,108.34375,2.0615)
(35.0,108.59375,1.709)
(35.0,108.96875,2.284)
(35.0,153.3125,2.568)
(35.0,153.4375,2.4456666666666664)
(35.0,153.5625,2.244777777777778)
(35.0,186.609375,3.0980909090909092)
(35.0,186.734375,2.4936666666666665)
(35.0,186.859375,2.481)
(35.0,186.984375,2.287)
(35.0,187.109375,2.066090909090909)
(35.0,231.546875,6.128333333333333)
(35.0,231.671875,5.951)
(35.0,310.90625,2.7181249999999997)
(35.0,356.09375,2.9425)
(35.0,356.21875,2.7416666666666667)
(35.0,356.34375,2.438142857142857)
(35.0,356.46875,2.19825)
(35.0,356.59375,2.0500000000000003)
(35.0,356.71875,1.991)
(36.0,29.703125,1.7836666666666663)
(36.0,29.828125,1.7845)
(36.0,30.203125,1.743)
(36.0,73.359375,1.377)
(36.0,75.109375,1.4680000000000002)
(36.0,75.234375,1.4368)
(36.0,77.234375,1.371)
(36.0,108.15625,2.103666666666667)
(36.0,108.28125,2.0796666666666668)
(36.0,108.53125,1.699)
(36.0,108.90625,2.106)
(36.0,153.046875,2.581)
(36.0,153.171875,2.390866666666667)
(36.0,153.296875,2.2224285714285714)
(36.0,186.59375,3.1355999999999997)
(36.0,186.71875,2.529)
(36.0,186.84375,2.553)
(36.0,186.96875,2.211666666666667)
(36.0,187.09375,2.0445)
(36.0,231.328125,6.128037037037038)
(36.0,231.453125,5.9338)
(36.0,310.75,2.7178750000000003)
(36.0,355.6875,2.9684999999999997)
(36.0,355.8125,2.726714285714286)
(36.0,355.9375,2.3962499999999998)
(36.0,356.0625,2.1683333333333334)
(36.0,356.1875,2.0515714285714286)
(37.0,29.328125,1.7890000000000001)
(37.0,29.453125,1.7692857142857144)
(37.0,73.1875,1.377)
(37.0,74.9375,1.4586000000000001)
(37.0,75.0625,1.4186666666666667)
(37.0,77.0625,1.381)
(37.0,107.703125,2.0805999999999996)
(37.0,107.828125,2.1092857142857144)
(37.0,108.078125,1.7256666666666665)
(37.0,108.203125,1.699)
(37.0,108.453125,1.973)
(37.0,152.84375,2.4198888888888894)
(37.0,152.96875,2.215923076923077)
(37.0,153.09375,2.167)
(37.0,186.046875,3.1188)
(37.0,186.171875,2.6675)
(37.0,186.296875,2.285)
(37.0,186.421875,2.1894)
(37.0,186.546875,2.0675000000000003)
(37.0,230.953125,6.097413793103448)
(37.0,231.078125,5.916333333333333)
(37.0,310.359375,2.7176249999999995)
(37.0,355.609375,3.017)
(37.0,355.734375,2.706)
(37.0,355.859375,2.4475)
(37.0,355.984375,2.206)
(37.0,356.109375,2.0478571428571426)
(37.0,356.234375,1.991)
(38.0,30.0625,1.7753333333333332)
(38.0,30.1875,1.7670000000000001)
(38.0,30.5625,1.725)
(38.0,73.640625,1.387)
(38.0,75.265625,1.505)
(38.0,75.390625,1.429)
(38.0,75.515625,1.4168333333333332)
(38.0,77.515625,1.375)
(38.0,108.53125,2.1235)
(38.0,108.65625,2.04225)
(38.0,108.90625,1.6918)
(38.0,109.03125,1.699)
(38.0,109.28125,2.1503333333333337)
(38.0,153.328125,2.606)
(38.0,153.453125,2.3972222222222217)
(38.0,153.578125,2.213545454545455)
(38.0,153.703125,2.179)
(38.0,186.921875,3.0988181818181815)
(38.0,187.046875,2.532)
(38.0,187.171875,2.475)
(38.0,187.296875,2.1894)
(38.0,187.421875,2.1136666666666666)
(38.0,231.59375,6.094448275862068)
(38.0,231.71875,5.954999999999999)
(38.0,311.03125,2.7190625)
(38.0,356.015625,2.9314999999999998)
(38.0,356.140625,2.73)
(38.0,356.265625,2.3970000000000002)
(38.0,356.390625,2.1969999999999996)
(38.0,356.515625,2.032)
(39.0,28.984375,1.813)
(39.0,29.109375,1.7561111111111112)
(39.0,29.484375,1.725)
(39.0,72.9375,1.373)
(39.0,74.6875,1.465)
(39.0,74.8125,1.4128333333333334)
(39.0,76.8125,1.361)
(39.0,107.34375,2.1136666666666666)
(39.0,107.46875,2.0483333333333333)
(39.0,107.71875,1.7149999999999999)
(39.0,108.09375,2.145)
(39.0,152.578125,2.574)
(39.0,152.703125,2.4234615384615386)
(39.0,152.828125,2.2334)
(39.0,152.953125,2.159)
(39.0,185.671875,3.1003333333333334)
(39.0,185.796875,2.7534)
(39.0,185.921875,2.374333333333333)
(39.0,186.046875,2.1475)
(39.0,186.171875,2.0502727272727275)
(39.0,230.796875,6.075642857142858)
(39.0,230.921875,5.8925)
(39.0,310.109375,2.7179375000000006)
(39.0,355.328125,3.042333333333333)
(39.0,355.453125,2.7409999999999997)
(39.0,355.578125,2.468)
(39.0,355.703125,2.2398000000000002)
(39.0,355.828125,2.0340000000000003)
(39.0,355.953125,1.965)
(40.0,75.078125,1.4678)
(40.0,75.203125,1.3896666666666666)
(40.0,75.328125,1.384)
(40.0,134.578125,2.1563333333333334)
(40.0,134.703125,2.1243333333333334)
(40.0,135.328125,2.161)
(40.0,153.078125,2.563)
(40.0,153.203125,2.440454545454546)
(40.0,153.328125,2.2366666666666664)
(40.0,212.765625,5.869)
(40.0,212.890625,5.893)
(40.0,213.140625,3.2883333333333327)
(40.0,213.265625,3.1724666666666668)
(40.0,257.640625,6.1705000000000005)
(40.0,257.765625,5.1963333333333335)
(40.0,257.890625,4.166076923076924)
(40.0,258.015625,3.5796666666666668)
(40.0,337.046875,3.0292666666666666)
(40.0,337.171875,2.8173999999999997)
(40.0,355.6875,2.9939999999999998)
(40.0,355.8125,2.681285714285714)
(40.0,355.9375,2.412333333333333)
(40.0,356.0625,2.1852857142857145)
(40.0,356.1875,2.0581428571428573)
(40.0,356.3125,1.957)
(41.0,29.609375,1.7643333333333333)
(41.0,29.734375,1.7627142857142857)
(41.0,30.109375,1.721)
(41.0,30.359375,1.233666666666667)
(41.0,30.484375,1.231)
(41.0,73.5,1.387)
(41.0,75.25,1.456)
(41.0,75.375,1.4083333333333332)
(41.0,77.375,1.3616666666666666)
(41.0,108.015625,2.0716666666666668)
(41.0,108.140625,2.0564545454545455)
(41.0,108.390625,1.716)
(41.0,108.515625,1.669)
(41.0,108.765625,1.653)
(41.0,153.125,2.5401999999999996)
(41.0,153.25,2.4223999999999997)
(41.0,153.375,2.2288823529411768)
(41.0,186.4375,3.1044545454545456)
(41.0,186.5625,2.5056666666666665)
(41.0,186.6875,2.49)
(41.0,186.8125,2.1762)
(41.0,186.9375,2.1135454545454544)
(41.0,231.375,6.070785714285714)
(41.0,231.5,5.8765)
(41.0,310.734375,2.718437499999999)
(41.0,355.921875,3.0069999999999997)
(41.0,356.046875,2.7187142857142854)
(41.0,356.171875,2.410428571428571)
(41.0,356.296875,2.1712857142857143)
(41.0,356.421875,2.0467142857142857)
(41.0,356.546875,1.965)
(42.0,30.03125,1.7690000000000001)
(42.0,30.15625,1.7527142857142857)
(42.0,30.53125,1.709)
(42.0,30.78125,1.221666666666667)
(42.0,30.90625,1.2209999999999999)
(42.0,32.53125,1.227)
(42.0,73.671875,1.3675)
(42.0,75.421875,1.4576666666666667)
(42.0,75.546875,1.4064999999999999)
(42.0,77.421875,1.385)
(42.0,77.546875,1.3515000000000001)
(42.0,108.5,2.121)
(42.0,108.625,2.0444999999999998)
(42.0,108.875,1.695)
(42.0,109.0,1.6840000000000002)
(42.0,109.25,1.645)
(42.0,153.28125,2.584333333333334)
(42.0,153.40625,2.4044666666666665)
(42.0,153.53125,2.2222857142857144)
(42.0,186.96875,3.006571428571429)
(42.0,187.09375,2.839)
(42.0,187.21875,2.307)
(42.0,187.34375,2.1763333333333335)
(42.0,187.46875,2.1302)
(42.0,231.5625,6.099333333333334)
(42.0,231.6875,5.88825)
(42.0,311.015625,2.71925)
(42.0,356.03125,2.9796666666666667)
(42.0,356.15625,2.6904999999999997)
(42.0,356.28125,2.3926666666666665)
(42.0,356.40625,2.202)
(42.0,356.53125,2.0218888888888893)
(43.0,30.109375,1.7726)
(43.0,30.234375,1.737)
(43.0,30.609375,1.707)
(43.0,30.859375,1.2235)
(43.0,30.984375,1.221)
(43.0,32.609375,1.235)
(43.0,73.265625,1.3896666666666668)
(43.0,75.015625,1.4725)
(43.0,75.140625,1.393)
(43.0,75.265625,1.3585)
(43.0,77.140625,1.3843333333333334)
(43.0,108.6875,2.105)
(43.0,108.8125,2.0526666666666666)
(43.0,108.9375,1.993)
(43.0,109.0625,1.7016666666666669)
(43.0,109.1875,1.681)
(43.0,109.4375,1.653)
(43.0,153.078125,2.593)
(43.0,153.203125,2.4239411764705885)
(43.0,153.328125,2.2265)
(43.0,153.453125,2.162)
(43.0,187.15625,3.113166666666667)
(43.0,187.28125,2.811)
(43.0,187.40625,2.325)
(43.0,187.53125,2.186666666666667)
(43.0,187.65625,2.0626363636363636)
(43.0,231.4375,6.059533333333333)
(43.0,231.5625,5.891)
(43.0,310.984375,2.7195000000000005)
(43.0,355.515625,2.9765)
(43.0,355.640625,2.7253333333333334)
(43.0,355.765625,2.42925)
(43.0,355.890625,2.171857142857143)
(43.0,356.015625,2.0254)
(43.0,356.140625,1.983)
(44.0,29.078125,1.782)
(44.0,29.203125,1.7482)
(44.0,29.828125,1.211)
(44.0,29.953125,1.2086666666666666)
(44.0,30.078125,1.209)
(44.0,73.125,1.349)
(44.0,74.875,1.445)
(44.0,75.0,1.407333333333333)
(44.0,75.125,1.3776666666666666)
(44.0,75.25,1.337)
(44.0,77.0,1.361)
(44.0,107.421875,2.1189999999999998)
(44.0,107.546875,2.0405)
(44.0,107.796875,1.69575)
(44.0,108.171875,2.217)
(44.0,152.703125,2.593)
(44.0,152.828125,2.4200000000000004)
(44.0,152.953125,2.229142857142857)
(44.0,153.078125,2.1710000000000003)
(44.0,185.734375,3.1157999999999997)
(44.0,185.859375,2.8125)
(44.0,185.984375,2.42)
(44.0,186.109375,2.149)
(44.0,186.234375,2.0526)
(44.0,230.84375,6.043827586206896)
(44.0,230.96875,5.865666666666666)
(44.0,310.171875,2.7186875000000006)
(44.0,355.5625,2.9625000000000004)
(44.0,355.6875,2.725666666666667)
(44.0,355.8125,2.4018888888888887)
(44.0,355.9375,2.2085)
(44.0,356.0625,2.029888888888889)
(45.0,28.78125,1.707)
(45.0,30.03125,1.7625)
(45.0,30.15625,1.7423333333333335)
(45.0,30.78125,1.163)
(45.0,30.90625,1.198777777777778)
(45.0,31.03125,1.197)
(45.0,32.15625,1.227)
(45.0,32.53125,1.227)
(45.0,73.671875,1.3675000000000002)
(45.0,73.796875,1.363)
(45.0,75.421875,1.455)
(45.0,75.546875,1.4463333333333335)
(45.0,75.671875,1.339)
(45.0,77.546875,1.3618000000000001)
(45.0,108.578125,2.0675000000000003)
(45.0,108.703125,2.0634)
(45.0,108.953125,1.699)
(45.0,109.078125,1.6910000000000003)
(45.0,109.328125,1.993)
(45.0,153.359375,2.589)
(45.0,153.484375,2.4055)
(45.0,153.609375,2.2169999999999996)
(45.0,153.734375,2.165)
(45.0,187.0625,3.034384615384615)
(45.0,187.1875,2.625)
(45.0,187.3125,2.5176666666666665)
(45.0,187.4375,2.1246666666666667)
(45.0,187.5625,2.160333333333333)
(45.0,231.640625,6.0665000000000004)
(45.0,231.765625,5.888999999999999)
(45.0,311.046875,2.719250000000001)
(45.0,356.03125,2.9475000000000002)
(45.0,356.15625,2.7258)
(45.0,356.28125,2.4307499999999997)
(45.0,356.40625,2.1790000000000003)
(45.0,356.53125,2.051285714285714)
(45.0,356.65625,1.972)
(46.0,30.171875,1.7670000000000001)
(46.0,30.296875,1.7286000000000001)
(46.0,30.921875,1.2082000000000002)
(46.0,31.046875,1.195)
(46.0,31.171875,1.1840000000000002)
(46.0,32.671875,1.2276666666666667)
(46.0,73.59375,1.405)
(46.0,73.71875,1.347)
(46.0,75.46875,1.41625)
(46.0,75.59375,1.353)
(46.0,75.71875,1.343)
(46.0,77.46875,1.361)
(46.0,108.6875,2.073)
(46.0,108.8125,2.0575454545454543)
(46.0,109.0625,1.6920000000000002)
(46.0,109.4375,2.0325)
(46.0,153.359375,2.583666666666667)
(46.0,153.484375,2.424)
(46.0,153.609375,2.2466470588235294)
(46.0,187.171875,3.1231818181818185)
(46.0,187.296875,2.794333333333333)
(46.0,187.421875,2.372333333333333)
(46.0,187.546875,2.1670000000000003)
(46.0,187.671875,2.0695)
(46.0,231.734375,6.070379310344828)
(46.0,231.859375,5.8823333333333325)
(46.0,311.203125,2.719375)
(46.0,355.921875,3.0460000000000003)
(46.0,356.046875,2.7695714285714286)
(46.0,356.171875,2.4743333333333335)
(46.0,356.296875,2.218111111111111)
(46.0,356.421875,2.0244285714285715)
(46.0,356.546875,1.941)
(47.0,29.953125,1.755)
(47.0,30.078125,1.7524285714285714)
(47.0,30.203125,1.719)
(47.0,30.453125,1.707)
(47.0,30.703125,1.207)
(47.0,30.828125,1.1953999999999998)
(47.0,30.953125,1.185)
(47.0,32.453125,1.215)
(47.0,75.25,1.459)
(47.0,75.375,1.4150000000000003)
(47.0,75.5,1.3647500000000001)
(47.0,77.375,1.351)
(47.0,108.453125,2.1645)
(47.0,108.578125,2.0349999999999997)
(47.0,108.828125,1.6803333333333335)
(47.0,108.953125,1.686)
(47.0,109.203125,2.2720000000000002)
(47.0,153.1875,2.5723333333333334)
(47.0,153.3125,2.400466666666666)
(47.0,153.4375,2.2345384615384614)
(47.0,153.5625,2.179)
(47.0,186.921875,3.0336666666666665)
(47.0,187.046875,2.697)
(47.0,187.296875,2.2298)
(47.0,187.421875,2.155)
(47.0,231.53125,6.074071428571427)
(47.0,231.65625,5.92)
(47.0,311.0,2.7200625000000005)
(47.0,355.875,3.007)
(47.0,356.0,2.7464285714285714)
(47.0,356.125,2.4167142857142854)
(47.0,356.25,2.1901428571428574)
(47.0,356.375,2.0300000000000002)
(47.0,356.5,1.9780000000000002)
(48.0,29.3125,1.7725)
(48.0,29.4375,1.73975)
(48.0,30.0625,1.205)
(48.0,30.1875,1.1975)
(48.0,30.3125,1.199)
(48.0,31.8125,1.227)
(48.0,73.046875,1.3619999999999999)
(48.0,74.796875,1.481)
(48.0,74.921875,1.4346)
(48.0,75.046875,1.366)
(48.0,76.796875,1.391)
(48.0,76.921875,1.338)
(48.0,107.75,2.125)
(48.0,107.875,2.0423333333333336)
(48.0,108.125,1.7033333333333331)
(48.0,108.25,1.661)
(48.0,108.5,2.205)
(48.0,152.671875,2.588)
(48.0,152.796875,2.4144285714285716)
(48.0,152.921875,2.238142857142857)
(48.0,153.046875,2.163)
(48.0,186.125,3.072538461538461)
(48.0,186.25,2.74)
(48.0,186.375,2.4299999999999997)
(48.0,186.5,2.1315)
(48.0,186.625,2.0852857142857144)
(48.0,230.890625,6.055064516129032)
(48.0,231.015625,5.909)
(48.0,310.328125,2.7203750000000007)
(48.0,355.453125,3.051666666666667)
(48.0,355.578125,2.73325)
(48.0,355.703125,2.4915)
(48.0,355.828125,2.2224)
(48.0,355.953125,2.047)
(48.0,356.078125,1.953)
(49.0,29.90625,1.7730000000000001)
(49.0,30.03125,1.7479999999999998)
(49.0,30.40625,1.707)
(49.0,30.65625,1.2042)
(49.0,30.78125,1.207)
(49.0,30.90625,1.219)
(49.0,73.375,1.3655000000000002)
(49.0,75.25,1.398333333333333)
(49.0,77.25,1.3450000000000002)
(49.0,108.40625,2.1385)
(49.0,108.53125,2.032111111111111)
(49.0,108.65625,1.848)
(49.0,108.78125,1.6774)
(49.0,108.90625,1.6520000000000001)
(49.0,109.15625,1.9089999999999998)
(49.0,153.09375,2.519)
(49.0,153.21875,2.447428571428571)
(49.0,153.34375,2.231)
(49.0,153.46875,2.195)
(49.0,186.828125,3.080833333333333)
(49.0,186.953125,2.6703333333333332)
(49.0,187.078125,2.4139999999999997)
(49.0,187.203125,2.2225)
(49.0,187.328125,2.091285714285714)
(49.0,231.390625,6.087857142857144)
(49.0,231.515625,5.9155)
(49.0,310.84375,2.7205625000000007)
(49.0,355.6875,3.033)
(49.0,355.8125,2.7336666666666667)
(49.0,355.9375,2.412)
(49.0,356.0625,2.1997999999999998)
(49.0,356.1875,2.048333333333334)
(50.0,29.53125,1.764142857142857)
(50.0,29.65625,1.7342000000000002)
(50.0,30.28125,1.2080000000000002)
(50.0,30.40625,1.2063333333333335)
(50.0,30.53125,1.209)
(50.0,32.03125,1.217)
(50.0,73.40625,1.391)
(50.0,75.28125,1.4207142857142858)
(50.0,75.40625,1.3464285714285715)
(50.0,75.53125,1.327)
(50.0,77.28125,1.331)
(50.0,107.875,2.1569999999999996)
(50.0,108.0,2.042111111111111)
(50.0,108.25,1.7062000000000002)
(50.0,108.375,1.6536666666666668)
(50.0,108.625,1.651)
(50.0,153.0625,2.559)
(50.0,153.1875,2.446)
(50.0,153.3125,2.2463333333333337)
(50.0,186.09375,3.175)
(50.0,186.21875,3.097727272727272)
(50.0,186.34375,2.788)
(50.0,186.46875,2.2889999999999997)
(50.0,186.59375,2.115)
(50.0,186.71875,2.093)
(50.0,231.296875,6.084333333333334)
(50.0,231.421875,5.942)
(50.0,310.640625,2.7205625)
(50.0,355.796875,3.0324999999999998)
(50.0,355.921875,2.6700000000000004)
(50.0,356.046875,2.395)
(50.0,356.171875,2.205666666666666)
(50.0,356.296875,2.0318571428571426)
(50.0,356.421875,1.973)
(51.0,29.421875,1.7696666666666667)
(51.0,29.546875,1.7413333333333334)
(51.0,31.921875,1.221)
(51.0,73.0625,1.357)
(51.0,74.8125,1.4403333333333332)
(51.0,74.9375,1.4282)
(51.0,75.0625,1.3236666666666665)
(51.0,75.1875,1.355)
(51.0,76.9375,1.3556666666666668)
(51.0,107.890625,2.1658)
(51.0,108.015625,2.045)
(51.0,108.265625,1.6996666666666667)
(51.0,108.390625,1.6510000000000002)
(51.0,108.640625,2.2279999999999998)
(51.0,152.71875,2.5803333333333334)
(51.0,152.84375,2.399857142857143)
(51.0,152.96875,2.2325714285714287)
(51.0,153.09375,2.181)
(51.0,186.359375,3.1195000000000004)
(51.0,186.484375,2.8243333333333336)
(51.0,186.609375,2.529)
(51.0,186.734375,2.1368333333333336)
(51.0,186.859375,2.114333333333333)
(51.0,231.046875,6.1014827586206914)
(51.0,231.171875,5.931666666666666)
(51.0,310.46875,2.7208125000000005)
(51.0,355.453125,3.0355)
(51.0,355.578125,2.766142857142857)
(51.0,355.703125,2.4553333333333334)
(51.0,355.828125,2.2298571428571425)
(51.0,355.953125,2.058)
(51.0,356.078125,1.975)
(52.0,29.890625,1.7763333333333333)
(52.0,30.015625,1.7365)
(52.0,30.390625,1.717)
(52.0,73.359375,1.337)
(52.0,75.109375,1.447)
(52.0,75.234375,1.4007999999999998)
(52.0,75.359375,1.343)
(52.0,75.484375,1.327)
(52.0,77.234375,1.345)
(52.0,108.390625,2.1639999999999997)
(52.0,108.515625,2.063)
(52.0,108.640625,2.011)
(52.0,108.765625,1.6970000000000003)
(52.0,108.890625,1.659)
(52.0,109.140625,1.938)
(52.0,153.0625,2.5576666666666665)
(52.0,153.1875,2.474111111111111)
(52.0,153.3125,2.2567894736842105)
(52.0,153.4375,2.179)
(52.0,186.90625,3.1361666666666665)
(52.0,187.03125,2.7822000000000005)
(52.0,187.15625,2.523)
(52.0,187.28125,2.137857142857143)
(52.0,187.40625,2.1052857142857144)
(52.0,231.4375,6.115620689655172)
(52.0,231.5625,5.949000000000001)
(52.0,310.890625,2.7215625000000006)
(52.0,355.71875,3.023)
(52.0,355.84375,2.6973333333333334)
(52.0,355.96875,2.4287142857142854)
(52.0,356.09375,2.190142857142857)
(52.0,356.21875,2.025)
(53.0,29.734375,1.7703333333333333)
(53.0,29.859375,1.7583333333333335)
(53.0,73.671875,1.3646666666666667)
(53.0,75.421875,1.4420000000000002)
(53.0,75.546875,1.452)
(53.0,75.671875,1.354)
(53.0,77.421875,1.383)
(53.0,77.546875,1.3406)
(53.0,108.109375,2.08)
(53.0,108.234375,2.0622)
(53.0,108.484375,1.6763333333333332)
(53.0,108.609375,1.6720000000000002)
(53.0,108.859375,2.231666666666667)
(53.0,153.28125,2.5890000000000004)
(53.0,153.40625,2.420176470588235)
(53.0,153.53125,2.2165384615384616)
(53.0,186.34375,3.209)
(53.0,186.46875,3.0975454545454544)
(53.0,186.59375,2.7800000000000002)
(53.0,186.71875,2.584)
(53.0,186.84375,2.145)
(53.0,186.96875,2.098333333333333)
(53.0,231.453125,6.124875)
(53.0,310.84375,2.7219375000000006)
(53.0,356.09375,3.0495)
(53.0,356.21875,2.747333333333333)
(53.0,356.34375,2.451)
(53.0,356.46875,2.224428571428571)
(53.0,356.59375,2.0427142857142857)
(53.0,356.71875,1.961)
(54.0,29.953125,1.79)
(54.0,30.078125,1.758333333333333)
(54.0,30.453125,1.717)
(54.0,73.59375,1.376)
(54.0,75.46875,1.4242000000000001)
(54.0,75.59375,1.3367499999999999)
(54.0,77.34375,1.383)
(54.0,77.46875,1.359)
(54.0,108.28125,2.201)
(54.0,108.40625,2.1018)
(54.0,108.53125,2.06125)
